Agent,Game,Action balanced replay buffer,Abandon ship,Grammar,Seed,25000,50000,75000,100000,125000,150000,175000,200000,225000,250000,275000,300000,325000,350000
No Abandon Ship,Abandon Ship Ablation Study,TRUE,Abandon ship 0.0,IGGI,3371768399,309.166667,80,270,299.166667,224.166667,480.833333,328.333333,555,483.333333,470.833333,366.666667,390.833333,482.5,532.5
No Abandon Ship,Abandon Ship Ablation Study,TRUE,Abandon ship 0.0,IGGI,1136464578,82.5,237.5,291.666667,245,224.166667,252.5,444.166667,171.666667,446.666667,610.833333,494.166667,566.666667,410,436.666667
No Abandon Ship,Abandon Ship Ablation Study,TRUE,Abandon ship 0.0,IGGI,3654173039,263.333333,300.833333,121.666667,136.666667,275,278.333333,472.5,560,615.833333,606.666667,575,607.5,542.5,502.5
No Abandon Ship,Abandon Ship Ablation Study,TRUE,Abandon ship 0.0,IGGI,2573980213,132.5,156.666667,240,194.166667,401.666667,432.5,434.166667,430.833333,576.666667,670,569.166667,620,644.166667,534.166667
No Abandon Ship,Abandon Ship Ablation Study,TRUE,Abandon ship 0.0,IGGI,853286407,1.666667,296.666667,171.666667,295.833333,270,303.333333,313.333333,619.166667,552.5,554.166667,612.5,497.5,618.333333,477.5
Abandon Ship: 2.0,Abandon Ship Ablation Study,TRUE,Abandon ship 2.0,IGGI,3371768399,309.166667,80,270,248.333333,310.833333,434.166667,519.166667,668.333333,589.166667,585.833333,613.333333,603.333333,575,677.5
Abandon Ship: 2.0,Abandon Ship Ablation Study,TRUE,Abandon ship 2.0,IGGI,1136464578,82.5,237.5,291.666667,236.666667,265,442.5,464.166667,590,715.833333,614.166667,570,602.5,501.666667,462.5
Abandon Ship: 2.0,Abandon Ship Ablation Study,TRUE,Abandon ship 2.0,IGGI,3654173039,263.333333,300.833333,121.666667,242.5,393.333333,281.666667,546.666667,466.666667,658.333333,589.166667,640.833333,745,626.666667,445.833333
Abandon Ship: 2.0,Abandon Ship Ablation Study,TRUE,Abandon ship 2.0,IGGI,2573980213,132.5,156.666667,240,305.833333,467.5,264.166667,346.666667,320,571.666667,628.333333,715,650.833333,637.5,728.333333
Abandon Ship: 2.0,Abandon Ship Ablation Study,TRUE,Abandon ship 2.0,IGGI,853286407,1.666667,296.666667,171.666667,324.166667,430,447.5,624.166667,717.5,704.166667,714.166667,690,635,534.166667,650
Abandon Ship: 1.0,Abandon Ship Ablation Study,TRUE,Abandon ship 1.0,IGGI,3371768399,309.166667,80,270,224.166667,303.333333,570,477.5,499.166667,536.666667,527.5,660,640,624.166667,639.166667
Abandon Ship: 1.0,Abandon Ship Ablation Study,TRUE,Abandon ship 1.0,IGGI,1136464578,82.5,237.5,291.666667,413.333333,263.333333,273.333333,365.833333,507.5,495.833333,575,616.666667,578.333333,700,482.5
Abandon Ship: 1.0,Abandon Ship Ablation Study,TRUE,Abandon ship 1.0,IGGI,3654173039,263.333333,300.833333,121.666667,201.666667,317.5,415,532.5,491.666667,544.166667,625.833333,665.833333,585.833333,475,496.666667
Abandon Ship: 1.0,Abandon Ship Ablation Study,TRUE,Abandon ship 1.0,IGGI,2573980213,132.5,156.666667,240,315.833333,405.833333,360.833333,604.166667,602.5,602.5,648.333333,642.5,702.5,641.666667,901.666667
Abandon Ship: 1.0,Abandon Ship Ablation Study,TRUE,Abandon ship 1.0,IGGI,853286407,1.666667,296.666667,171.666667,406.666667,400,467.5,650,636.666667,635,353.333333,754.166667,610.833333,597.5,739.166667
Abandon Ship: 3.0,Abandon Ship Ablation Study,TRUE,Abandon ship 3.0,IGGI,3371768399,309.166667,80,270,210.833333,453.333333,526.666667,534.166667,540,505.833333,524.166667,599.166667,570,495.833333,233.333333
Abandon Ship: 3.0,Abandon Ship Ablation Study,TRUE,Abandon ship 3.0,IGGI,1136464578,82.5,237.5,291.666667,190,200.833333,325,391.666667,538.333333,586.666667,604.166667,550,408.333333,572.5,397.5
Abandon Ship: 3.0,Abandon Ship Ablation Study,TRUE,Abandon ship 3.0,IGGI,3654173039,263.333333,300.833333,121.666667,520,323.333333,270,530.833333,412.5,618.333333,477.5,587.5,558.333333,594.166667,630.833333
Abandon Ship: 3.0,Abandon Ship Ablation Study,TRUE,Abandon ship 3.0,IGGI,2573980213,132.5,156.666667,240,280.833333,333.333333,437.5,449.166667,486.666667,565,686.666667,718.333333,720.833333,655,484.166667
Abandon Ship: 3.0,Abandon Ship Ablation Study,TRUE,Abandon ship 3.0,IGGI,853286407,1.666667,296.666667,171.666667,276.666667,250,337.5,338.333333,496.666667,432.5,479.166667,492.5,459.166667,575,566.666667
DDQN,Abandon Ship Ablation Study,N/A,N/A,N/A,3371768399,20.833333,29.166667,253.333333,300,318.333333,353.333333,181.666667,433.333333,415.833333,337.5,248.333333,465,302.5,449.166667
DDQN,Abandon Ship Ablation Study,N/A,N/A,N/A,1136464578,60,197.5,151.666667,242.5,170.833333,389.166667,500,327.5,315,345.833333,340,222.5,342.5,380
DDQN,Abandon Ship Ablation Study,N/A,N/A,N/A,3654173039,145,268.333333,355.833333,326.666667,281.666667,317.5,202.5,244.166667,335,383.333333,449.166667,184.166667,308.333333,387.5
DDQN,Abandon Ship Ablation Study,N/A,N/A,N/A,2573980213,204.166667,125.833333,242.5,126.666667,208.333333,300.833333,286.666667,156.666667,392.5,297.5,295.833333,375.833333,429.166667,392.5
DDQN,Abandon Ship Ablation Study,N/A,N/A,N/A,853286407,290.833333,265.833333,277.5,326.666667,365.833333,416.666667,436.666667,315,383.333333,324.166667,467.5,275.833333,422.5,388.333333
No Action Balanced Replay Buffer,Action Balanced Replay Buffer Ablation Study,FALSE,Abandon ship 1.0,IGGI,3371768399,309.166667,80,270,210,320,373.333333,490,560.833333,584.166667,531.666667,606.666667,535,569.166667,650
No Action Balanced Replay Buffer,Action Balanced Replay Buffer Ablation Study,FALSE,Abandon ship 1.0,IGGI,1136464578,82.5,237.5,291.666667,214.166667,218.333333,293.333333,283.333333,520,570,640,610,683.333333,616.666667,394.166667
