Agent,Game,Seed,100000
SAC,Qbert,1584312663,433.33
SAC,Qbert,84723650,256.67
SAC,Qbert,2347278325,385
SAC,Qbert,2138920865,175
SAC,Qbert,2893437300,152.5
AG-SAC,Qbert,2929279936,192.5
AG-SAC,Qbert,3200405851,620
AG-SAC,Qbert,1099108964,213.33
AG-SAC,Qbert,2305163547,406.67
AG-SAC,Qbert,3218148386,365.83
SAC,Seaquest,2808335366,234
SAC,Seaquest,2300739511,240
SAC,Seaquest,2668553285,177.33
SAC,Seaquest,2421338340,278.67
SAC,Seaquest,1466510285,128
AG-SAC,Seaquest,1508953277,284
AG-SAC,Seaquest,2347706604,305.33
AG-SAC,Seaquest,1495884559,215.33
AG-SAC,Seaquest,2681341367,189.33
AG-SAC,Seaquest,1843488580,315.33
SAC,MsPacman,2959866888,634.67
SAC,MsPacman,2767846435,646.33
SAC,MsPacman,47921108,509
SAC,MsPacman,3482473054,799.67
SAC,MsPacman,1569488317,865
AG-SAC,MsPacman,606203110,719.67
AG-SAC,MsPacman,2684993546,508
AG-SAC,MsPacman,857541054,944.67
AG-SAC,MsPacman,3365762077,530.33
AG-SAC,MsPacman,1521558022,862
SAC,Pong,457828226,-21
SAC,Pong,1959089012,-21
SAC,Pong,4247553704,-21
SAC,Pong,1399394364,-21
SAC,Pong,3873026035,-20.9
AG-SAC,Pong,3608627212,-21
AG-SAC,Pong,3596362292,-21
AG-SAC,Pong,2581646226,-20.77
AG-SAC,Pong,1770367043,-21
AG-SAC,Pong,3053047275,-21
SAC,Space Invaders,4228323168,145.5
SAC,Space Invaders,2899636816,155.5
SAC,Space Invaders,546127527,184.17
SAC,Space Invaders,2379399512,173.17
SAC,Space Invaders,1196351391,145.5
AG-SAC,Space Invaders,637826365,288.5
AG-SAC,Space Invaders,999157816,181.17
AG-SAC,Space Invaders,3640825450,383.5
AG-SAC,Space Invaders,49898690,327.83
AG-SAC,Space Invaders,3588002768,324
SAC,Breakout,1394691682,0.6
SAC,Breakout,3920415066,0.17
SAC,Breakout,3889139280,1.3
SAC,Breakout,3925398669,1.2
SAC,Breakout,4113033498,0.27
AG-SAC,Breakout,1998842350,2.87
AG-SAC,Breakout,585488214,1.67
AG-SAC,Breakout,674481577,0.1
AG-SAC,Breakout,2510500393,0
AG-SAC,Breakout,2874455840,2.67
SAC,Beam Rider,1124046921,498.93
SAC,Beam Rider,1980672812,387.2
SAC,Beam Rider,3331926649,450.67
