Game,Random,Rainbow,SAC,AG-SAC,SAC std,AG-SAC std,AG-SAC vs. SAC Improvement,AG-SAC vs. Rainbow
Enduro,0,0.53,0.78,30.08,0.84,10.12,37.56,55.75
Amidar,11.8,20.8,7.91,56.71,5.06,15.37,6.17,1.73
UpNDown,488.4,1346.3,250.7,1739.1,176.5,835.8,5.94,0.29
Road Runner,0,524.1,305.33,1868.67,557.36,"1,685.31",5.12,2.57
Frostbite,74,140.1,59.4,252.27,16.32,79.81,3.25,0.8
Freeway,0,0.1,4.43,13.24,9.91,12.09,1.99,131.4
Kangaroo,42,38.7,29.3,69.3,55.1,80.4,1.36,0.79
Breakout,0.9,3.3,0.71,1.46,0.52,1.37,1.07,-0.56
Crazy Climber,7339.5,12558.3,3668.67,7510,600.76,"3,898.66",1.05,-0.4
Space Invaders,148,135.1,160.77,301,17.29,75.12,0.87,1.23
Asterix,248.8,285.7,272,459,33.28,104.18,0.69,0.61
Alien,184.8,290.6,216.87,349.67,43.04,33.43,0.61,0.2
Assault,233.7,300.3,350,490.6,40,119,0.4,0.63
Qbert,166.1,235.6,280.5,359.67,124.86,172.76,0.28,0.53
BattleZone,2895,3363.5,4386.7,5486.7,1163,1461.7,0.25,0.63
Seaquest,61.1,206.3,211.6,261.87,59.1,56.27,0.24,0.27
Beam Rider,372.1,365.6,432.05,462.99,44.03,219.09,0.07,0.27
MsPacman,235.2,364.3,690.93,712.93,141.75,194.49,0.03,0.96
Pong,-20.4,-19.5,-20.98,-20.95,0.04,0.1,1.33,-0.98
JamesBond,29.2,61.7,68.3,66.3,26.2,19.4,-0.03,0.07
