Game,Improvement (Habit-SAC vs. SAC),Attempted Move Lengths,Executed Move Lengths,Executed / Attempted Move Lengths
Enduro,3756.4%,14.8,12.0,81.1%
Amidar,617.3%,3.4,2.8,82.4%
Road Runner,512.0%,8.2,6.8,82.9%
Frostbite,324.7%,2.0,2.0,100.0%
Freeway,198.6%,15.8,15.2,96.2%
Breakout,106.6%,7.9,2.2,27.8%
Crazy Climber,104.7%,7.1,4.4,62.0%
Space Invaders,87.2%,8.7,6.3,72.4%
Asterix,68.8%,58.3,9.8,16.8%
Alien,61.2%,13.1,11.6,88.5%
Qbert,28.2%,8.2,8.0,97.6%
Seaquest,23.8%,14.0,8.6,61.4%
Beam Rider,7.2%,12.2,5.8,47.5%
MsPacman,3.2%,8.2,7.5,91.5%
